id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,keywords_processed,group
1795,Glasgow Times : Coronavirus: Legendary singer Barry Manilow addresses fans ahead of Hydro show,http://www.glasgowtimes.co.uk/news/18311483.coronavirus-legendary-singer-barry-manilow-addresses-fans-ahead-hydro-show/,107894,"LEGENDARY, Barry, Manilow, pandemic, singer, addressed, amid, coronavirus","LEGENDARY, Barry, Manilow, pandemic, singer, addressed, amid, coronavirus","""Deep in my gut I know that we will all get through this; with kindness, concern, and compassion for each other.","""Deep in my gut I know that we will all get through this; with kindness, concern, and compassion for each other.",2020-06-12,2021-03-08,no,News,CORONAVIRUS,"legendary,barry,manilow,pandemic,singer,addressed,amid,coronavirus",Media
1796,Glasgow Times : Coronavirus: Greater Glasgow patient dies from COVID-19 as Scotland cases jumps to 195,http://www.glasgowtimes.co.uk/news/18311531.coronavirus-another-covid-19-death-scotland-greater-glasgow-cases-rise-49/,107895,"Sturgeon, Glasgow, health, advice, people, Greater, patient, Scotland","Sturgeon, Glasgow, health, advice, people, Greater, patient, Scotland","She said: “I want to be very clear with people, we are considering all of these things incredibly carefully.","She said: “I want to be very clear with people, we are considering all of these things incredibly carefully.",2020-03-18,2020-03-18,no,News,CORONAVIRUS,"sturgeon,glasgow,health,advice,people,greater,patient,scotland",Media
1797,Glasgow Times : Coronavirus: Shows suspended at the King's and Theatre Royal in Glasgow,http://www.glasgowtimes.co.uk/news/18312085.coronavirus-shows-suspended-kings-theatre-royal-glasgow/,107896,"Theatre, Glasgow, Prime, Minister, Boris, Johnson, Street, theatres","Theatre, Glasgow, Prime, Minister, Boris, Johnson, Street, theatres",TWO more Glasgow theatres will close after Prime Minister Boris Johnson's advice to avoid unnecessary social contact.,TWO more Glasgow theatres will close after Prime Minister Boris Johnson's advice to avoid unnecessary social contact.,2020-03-18,2020-11-08,no,News,CORONAVIRUS,"theatre,glasgow,prime,minister,boris,johnson,street,theatres",Media
1798,Glasgow Times : NHS on emergency footing as rapid rise in coronavirus predicted,http://www.glasgowtimes.co.uk/news/18312249.rapid-rise-virus-coming/,107897,"Health, NHS, Secretary, Freeman, service, advice, treating, emergency","Health, NHS, Secretary, Freeman, service, advice, treating, emergency","Health Secretary, Jeane Freeman, said there are plans for more beds and more oxygen and non-urgent operations are being cancelled to focus on treating those with the virus, while still treating other patients with life threatening conditions.","Health Secretary, Jeane Freeman, said there are plans for more beds and more oxygen and non-urgent operations are being cancelled to focus on treating those with the virus, while still treating other patients with life threatening conditions.",2020-03-18,2020-03-18,no,News,CORONAVIRUS,"health,nhs,secretary,freeman,service,advice,treating,emergency",Media
1799,Glasgow Times : NHS Lanarkshire hospitals to suspend all visiting times,http://www.glasgowtimes.co.uk/news/18312459.nhs-lanarkshire-hospitals-suspend-visiting-times/,107899,"NHS, Lanarkshire, coronavirus, visiting, suspended, bid, prevent, spread","NHS, Lanarkshire, coronavirus, visiting, suspended, bid, prevent, spread",NHS Lanarkshire has said all visiting times will be suspended in a bid to prevent the spread of coronavirus.,NHS Lanarkshire has said all visiting times will be suspended in a bid to prevent the spread of coronavirus.,2020-03-18,2020-03-18,no,News,CORONAVIRUS,"nhs,lanarkshire,coronavirus,visiting,suspended,bid,prevent,spread",Media
1800,Glasgow Times : Coronavirus shuts down all Glasgow council meetings and buildings,http://www.glasgowtimes.co.uk/news/18312555.council-suspends-meetings-plans-shutting-buildings-help-virus-effort/,107900,"city, COUNCIL, leader, Committee, response, meetings, Glasgow, staff","city, COUNCIL, leader, Committee, response, meetings, Glasgow, staff","Society’s recovery from this is utterly dependent on us doing our jobs and continuing to support people.""","Society’s recovery from this is utterly dependent on us doing our jobs and continuing to support people.""",2020-03-18,2020-06-13,no,News,CORONAVIRUS,"city,council,leader,committee,response,meetings,glasgow,staff",Media
1801,Glasgow Times : Here's what Scotland's top cop has to say about the coronavirus crisis,http://www.glasgowtimes.co.uk/news/18312681.scotlands-top-cop-say-coronavirus-crisis/,107901,"police, SCOTLAND'S, service, Scotland, Livingstone, country, coronavirus, response","police, SCOTLAND'S, service, Scotland, Livingstone, country, coronavirus, response",Chief Constable Iain Livingstone acknowledged the force faces challenging months ahead but it will keep citizens safe.,Chief Constable Iain Livingstone acknowledged the force faces challenging months ahead but it will keep citizens safe.,2020-03-18,2020-03-18,no,News,CORONAVIRUS,"police,scotland's,service,scotland,livingstone,country,coronavirus,response",Media
1802,Glasgow Times : Coronavirus: How Glasgow must stick together through this crisis,http://www.glasgowtimes.co.uk/opinion/18309800.coronavirus-glasgow-must-stick-together-crisis/,107902,"Glasgow, People, community, city, Make, groups, Scotland, READ","Glasgow, People, community, city, Make, groups, Scotland, READ",Councillor Eva Murray expressed her praise at the Garscadden and Scotstounhill Community for coming together to help people who are self-isolating with simple errands.,Councillor Eva Murray expressed her praise at the Garscadden and Scotstounhill Community for coming together to help people who are self-isolating with simple errands.,2020-03-18,2020-03-18,no,News,CORONAVIRUS,"glasgow,people,community,city,make,groups,scotland,read",Media
1804,Glasgow Times : Coronavirus: SFA and SPFL join forces to tackle COVID-19 spread,http://www.glasgowtimes.co.uk/sport/18274890.coronavirus-sfa-spfl-join-forces-tackle-covid-19-spread/,107904,"SCOTTISH, football, medical, spread, SPFL, Chief, SFA, Maxwell","SCOTTISH, football, medical, spread, SPFL, Chief, SFA, Maxwell","“At the moment, there have been no indications that match schedules will be affected, but we are monitoring events closely and liaising with the Scottish Government to ensure we are as well prepared as possible.","“At the moment, there have been no indications that match schedules will be affected, but we are monitoring events closely and liaising with the Scottish Government to ensure we are as well prepared as possible.",2020-03-02,2020-03-29,no,News,CORONAVIRUS,"scottish,football,medical,spread,spfl,chief,sfa,maxwell",Media
1805,Glasgow Times : Celtic ban players from selfies and fan events amid coronavirus outbreak fears,http://www.glasgowtimes.co.uk/sport/18287209.celtic-ban-players-selfies-fan-events-amid-coronavirus-outbreak-fears/,107905,"Celtic, Premiership, Coronavirus, avoid, games, players, told, club","Celtic, Premiership, Coronavirus, avoid, games, players, told, club",But the Hoops manager admits he'd always rather play games within an arena that boasts a supporter-led atmosphere.,But the Hoops manager admits he'd always rather play games within an arena that boasts a supporter-led atmosphere.,2020-03-11,2020-03-11,no,News,CORONAVIRUS,"celtic,premiership,coronavirus,avoid,games,players,told,club",Media
1812,Glasgow Times : Scotland vs Israel in serious doubt as Nicola Sturgeon advises cancelling 'all mass gatherings' from next week,http://www.glasgowtimes.co.uk/sport/18301067.scotland-vs-israel-serious-doubt-nicola-sturgeon-advises-cancelling-all-mass-gatherings-next-week/,107914,"Nations, League, Israel, Minister, Nicola, CANCELLED, mass, Scotland","Nations, League, Israel, Minister, Nicola, CANCELLED, mass, Scotland",Our emergency services are likely to suffer from higher than normal sickness absence rates in the weeks and months ahead and our NHS in particular will be under significant pressure.,Our emergency services are likely to suffer from higher than normal sickness absence rates in the weeks and months ahead and our NHS in particular will be under significant pressure.,2020-03-14,2020-03-14,no,News,CORONAVIRUS,"nations,league,israel,minister,nicola,cancelled,mass,scotland",Media
1817,Glasgow Times : Annan call for guidance as club in 'position of financial uncertainty',http://www.glasgowtimes.co.uk/sport/18306820.annan-call-guidance-club-position-financial-uncertainty/,107920,"ANNAN, ATHLETIC, club, SPFL, difficulty’, support, desperately, seeking","ANNAN, ATHLETIC, club, SPFL, difficulty’, support, desperately, seeking","“With the cancellation of first team football and training for all ages by the SPFL, we are in a position of financial difficulty and looking for guidance from the governing bodies as soon as possible.","“With the cancellation of first team football and training for all ages by the SPFL, we are in a position of financial difficulty and looking for guidance from the governing bodies as soon as possible.",2020-08-05,2020-09-26,no,News,CORONAVIRUS,"annan,athletic,club,spfl,difficulty’,support,desperately,seeking",Media
1823,DnG24 : All clear for coronavirus,https://www.dng24.co.uk/all-clear-for-coronavirus/,107952,"positive, Ayr, Carlisle, Scotland, result, person, couple, returned","positive, Ayr, Carlisle, Scotland, result, person, couple, returned","He said: “If there are large numbers of infections this is likely to place additional pressures on healthcare resources.” And offering reassurance, Scotland chief medical officer Dr Catherine Calderwood said: “Scotland is well equipped to deal with infections of this kind.","He said: “If there are large numbers of infections this is likely to place additional pressures on healthcare resources.” And offering reassurance, Scotland chief medical officer Dr Catherine Calderwood said: “Scotland is well equipped to deal with infections of this kind.",2020-03-07,2024-07-12,no,News,CORONAVIRUS,"positive,ayr,carlisle,scotland,result,person,couple,returned",Media
1826,DnG24 : Care homes close,https://www.dng24.co.uk/care-homes-close/,107955,"Care, Home, Annan, Burnfoot, Hall, Coach, House, Ecclefechan","Care, Home, Annan, Burnfoot, Hall, Coach, House, Ecclefechan",He added: “DGRI is notable for having single bed wards which addresses the risk of transmission.,He added: “DGRI is notable for having single bed wards which addresses the risk of transmission.,2020-03-14,2025-04-27,no,News,CORONAVIRUS,"care,home,annan,burnfoot,hall,coach,house,ecclefechan",Media
1827,DnG24 : Coronavirus cancellations,https://www.dng24.co.uk/coronavirus-cancellations/,107956,"cancelled, postponed, Moffat, Sands, closed, Dumfries, Theatre, Royal","cancelled, postponed, Moffat, Sands, Lockerbie, Dumfries, Theatre, Royal","- Dumfries Theatre Royal – closed - Old Well Theatre, Moffat – closed - Sands Centre, Carlisle – shut - Royal Highland Show – cancelled - Annandale and Eskdale Sports Awards – postponed - Moffat Classic Car Rally – cancelled - Perform Dumfries – cancelled - Rockerbie – postponed - Calamity Jane at Langholm – postponed - Sands charity night, Annan – cancelled * This list will be continually updated","- Dumfries Theatre Royal – closed - Old Well Theatre, Moffat – closed - Sands Centre, Carlisle – shut - Royal Highland Show – cancelled - Annandale and Eskdale Sports Awards – postponed - Moffat Classic Car Rally – cancelled - Perform Dumfries – cancelled - Rockerbie – postponed - Calamity Jane at Langholm – postponed - Sands charity night, Annan – cancelled - Big Dog book festival – cancelled - Lockerbie Gala – cancelled - Guid Nychburris – cancelled - Lockerbie Ice Rink – shut * This list will be continually updated",2020-03-18,2024-07-21,no,News,CORONAVIRUS,"cancelled,postponed,moffat,sands,closed,dumfries,theatre,royal",Media
